H,#Y,L,Wb,Wc,#C,Y
103.13,64.22,25.81,0.7,12.72,38.54,0.67
118.48,55.25,27.01,0.71,13.11,60.33,0.93
124.13,71.87,30.69,0.79,14.57,72.31,1.07
130.51,68.87,29.13,0.8,16.05,68.86,1.18
116.06,56.64,26.1,0.77,12.44,78.09,0.65
122.09,54.28,28.13,0.78,14.06,51.37,0.71
125.06,62.1,28.28,0.81,15.12,50.83,0.9
128.56,66.27,29.6,0.83,16.2,72.38,0.96
111.53,58.3,23.26,0.68,11.77,62.06,0.86
115.03,59.24,26.2,0.7,11.95,57.01,0.91
98.51,51.52,25.93,0.66,11.24,54.39,0.56
106.17,78.89,22.77,0.66,12.92,173.31,2.18
132.14,88.75,23.42,0.94,16.62,185.64,2.94
139,93.91,24.42,0.87,17.56,199.37,3.38
142.06,100.37,24.24,0.76,18.11,177.47,3.49
129,81.56,23.27,0.86,14.92,226.86,3.59
131.19,85.42,23.94,0.94,14.81,243.03,3.11
140.24,92.21,26.73,0.83,15.24,205.14,3.35
137.8,95.72,24.91,0.76,18.99,229.53,4.26
129.39,83.6,21.7,0.57,12.13,161.16,1.95
140.35,87.36,23.59,0.82,18.95,181.32,2.43
118.51,73.71,21.04,0.76,16.04,67.46,1.09
